Name,Date joined,Latitude,Longitude,URL
Switzerland,10 September 2002,,,/wiki/Switzerland
Syrian Arab Republic,24 October 1945,,,/wiki/Syria
Tajikistan,2 March 1992,,,/wiki/Tajikistan
Thailand,16 December 1946,,,/wiki/Thailand
Timor-Leste,27 September 2002,,,/wiki/Timor-Leste
Togo,20 September 1960,,,/wiki/Togo
Tonga,14 September 1999,,,/wiki/Tonga
Trinidad and Tobago,18 September 1962,,,/wiki/Trinidad_and_Tobago
Tunisia,12 November 1956,,,/wiki/Tunisia
Türkiye,24 October 1945,,,/wiki/Turkey
Turkmenistan,2 March 1992,,,/wiki/Turkmenistan
Tuvalu,5 September 2000,,,/wiki/Tuvalu
Uganda,25 October 1962,,,/wiki/Uganda
Ukraine,24 October 1945,,,/wiki/Ukraine
United Arab Emirates,9 December 1971,,,/wiki/United_Arab_Emirates
United Kingdom of Great Britain and Northern Ireland,24 October 1945,,,/wiki/United_Kingdom
United Republic of Tanzania,14 December 1961,,,/wiki/Tanzania
United States of America,24 October 1945,,,/wiki/United_States
Uruguay,18 December 1945,,,/wiki/Uruguay
Uzbekistan,2 March 1992,,,/wiki/Uzbekistan
Vanuatu,15 September 1981,,,/wiki/Vanuatu
Bolivarian Republic of Venezuela,15 November 1945,,,/wiki/Venezuela
Viet Nam,20 September 1977,,,/wiki/Vietnam
Yemen,30 September 1947,,,/wiki/Yemen
Zambia,1 December 1964,,,/wiki/Zambia
Zimbabwe,25 August 1980,,,/wiki/Zimbabwe
